o,h,l,c,v
1.1606314182281494,1.1606314182281494,1.1606314182281494,1.1606314182281494,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.1606314182281494,1.1606314182281494,1.1606314182281494,1.1606314182281494,0
1.1609008312225342,1.1609008312225342,1.1609008312225342,1.1609008312225342,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.1609008312225342,1.1609008312225342,1.1609008312225342,1.1609008312225342,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.1606314182281494,1.1606314182281494,1.1606314182281494,1.1606314182281494,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.160496711730957,1.160496711730957,1.160496711730957,1.160496711730957,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.1609008312225342,1.1609008312225342,1.1609008312225342,1.1609008312225342,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.161170482635498,1.161170482635498,1.161170482635498,1.161170482635498,0
1.16130530834198,1.16130530834198,1.16130530834198,1.16130530834198,0
1.16130530834198,1.16130530834198,1.16130530834198,1.16130530834198,0
1.16130530834198,1.16130530834198,1.16130530834198,1.16130530834198,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.1610356569290161,1.1610356569290161,1.1610356569290161,1.1610356569290161,0
1.1609008312225342,1.1609008312225342,1.1609008312225342,1.1609008312225342,0
1.1609008312225342,1.1609008312225342,1.1609008312225342,1.1609008312225342,0
1.1609008312225342,1.1609008312225342,1.1609008312225342,1.1609008312225342,0
1.1607661247253418,1.1607661247253418,1.1607661247253418,1.1607661247253418,0
1.1606314182281494,1.1606314182281494,1.1606314182281494,1.1606314182281494,0
1.1606314182281494,1.1606314182281494,1.1606314182281494,1.1606314182281494,0
1.160496711730957,1.160496711730957,1.160496711730957,1.160496711730957,0
1.160496711730957,1.160496711730957,1.160496711730957,1.160496711730957,0
1.160496711730957,1.160496711730957,1.160496711730957,1.160496711730957,0
1.160496711730957,1.160496711730957,1.160496711730957,1.160496711730957,0
1.160496711730957,1.160496711730957,1.160496711730957,1.160496711730957,0
1.1606314182281494,1.1606314182281494,1.1606314182281494,1.1606314182281494,0
1.1606314182281494,1.1606314182281494,1.1606314182281494,1.1606314182281494,0
