o,h,l,c,v
1.1693171262741089,1.169864296913147,1.1693171262741089,1.1697274446487427,0
1.1697274446487427,1.1701380014419556,1.1697274446487427,1.1701380014419556,0
1.1700011491775513,1.1700011491775513,1.1693171262741089,1.1693171262741089,0
1.1693171262741089,1.169864296913147,1.1691803932189941,1.169864296913147,0
1.1700011491775513,1.1709601879119873,1.1700011491775513,1.170823097229004,0
1.170823097229004,1.1716461181640625,1.1706860065460205,1.1715089082717896,0
1.1716461181640625,1.171783447265625,1.1710972785949707,1.1712344884872437,0
1.1712344884872437,1.1713716983795166,1.170823097229004,1.1712344884872437,0
1.1710972785949707,1.1712344884872437,1.170823097229004,1.1709601879119873,0
1.170823097229004,1.1713716983795166,1.170823097229004,1.1712344884872437,0
1.1712344884872437,1.1715089082717896,1.1712344884872437,1.1715089082717896,0
1.1713716983795166,1.1719207763671875,1.1713716983795166,1.171783447265625,0
1.171783447265625,1.1728830337524414,1.171783447265625,1.1726078987121582,0
1.1727453470230103,1.1735711097717285,1.1724703311920166,1.1728830337524414,0
1.1730204820632935,1.1730204820632935,1.172195553779602,1.1726078987121582,0
1.172333002090454,1.1730204820632935,1.1719207763671875,1.1728830337524414,0
1.1728830337524414,1.1728830337524414,1.1719207763671875,1.1724703311920166,0
1.1726078987121582,1.17384672164917,1.1724703311920166,1.17384672164917,0
1.1739845275878906,1.1739845275878906,1.1726078987121582,1.1727453470230103,0
1.1728830337524414,1.1728830337524414,1.172333002090454,1.172333002090454,0
1.172195553779602,1.1728830337524414,1.172195553779602,1.1727453470230103,0
1.1728830337524414,1.1728830337524414,1.172333002090454,1.172333002090454,0
1.172333002090454,1.1732958555221558,1.172333002090454,1.1730204820632935,0
1.1728830337524414,1.1728830337524414,1.171783447265625,1.171783447265625,0
1.17205810546875,1.17205810546875,1.1715089082717896,1.171783447265625,0
1.1716461181640625,1.171783447265625,1.1710972785949707,1.1710972785949707,0
1.1710972785949707,1.1719207763671875,1.1709601879119873,1.1713716983795166,0
1.1715089082717896,1.171783447265625,1.1709601879119873,1.1710972785949707,0
1.1709601879119873,1.171783447265625,1.1709601879119873,1.1713716983795166,0
1.1713716983795166,1.1716461181640625,1.1710972785949707,1.1713716983795166,0
1.1715089082717896,1.1715089082717896,1.170548915863037,1.170823097229004,0
1.170823097229004,1.1709601879119873,1.1704120635986328,1.1704120635986328,0
1.1701380014419556,1.1706860065460205,1.1701380014419556,1.1706860065460205,0
1.1706860065460205,1.170823097229004,1.170548915863037,1.170823097229004,0
1.170823097229004,1.1709601879119873,1.170548915863037,1.170548915863037,0
1.1706860065460205,1.170823097229004,1.170548915863037,1.170823097229004,0
1.170823097229004,1.1709601879119873,1.170823097229004,1.1709601879119873,0
1.1709601879119873,1.1712344884872437,1.1709601879119873,1.1710972785949707,0
1.1710972785949707,1.1713716983795166,1.1710972785949707,1.1713716983795166,0
1.1715089082717896,1.171783447265625,1.1713716983795166,1.1716461181640625,0
1.1715089082717896,1.171783447265625,1.1715089082717896,1.1716461181640625,0
1.1716461181640625,1.171783447265625,1.1713716983795166,1.1713716983795166,0
1.1709601879119873,1.1716461181640625,1.1709601879119873,1.1713716983795166,0
1.1712344884872437,1.1713716983795166,1.1710972785949707,1.1713716983795166,0
1.1713716983795166,1.171783447265625,1.1712344884872437,1.1716461181640625,0
1.1715089082717896,1.1715089082717896,1.1713716983795166,1.1715089082717896,0
1.1715089082717896,1.171783447265625,1.1715089082717896,1.1716461181640625,0
1.171783447265625,1.17205810546875,1.171783447265625,1.171783447265625,0
1.171783447265625,1.1719207763671875,1.1709601879119873,1.1710972785949707,0
1.1710972785949707,1.1713716983795166,1.1706860065460205,1.170823097229004,0
1.170548915863037,1.170823097229004,1.1704120635986328,1.170823097229004,0
1.170823097229004,1.1709601879119873,1.1704120635986328,1.1706860065460205,0
1.1706860065460205,1.1706860065460205,1.1695905923843384,1.169864296913147,0
1.169864296913147,1.1702749729156494,1.1697274446487427,1.1702749729156494,0
1.1702749729156494,1.1702749729156494,1.169864296913147,1.1700011491775513,0
1.169864296913147,1.1700011491775513,1.1697274446487427,1.169864296913147,0
1.169864296913147,1.169864296913147,1.1694538593292236,1.1695905923843384,0
1.1695905923843384,1.169864296913147,1.1695905923843384,1.1695905923843384,0
1.1697274446487427,1.1701380014419556,1.1691803932189941,1.1691803932189941,0
1.1694538593292236,1.169864296913147,1.1694538593292236,1.1697274446487427,0
1.1701380014419556,1.1704120635986328,1.1700011491775513,1.1704120635986328,0
1.170548915863037,1.1709601879119873,1.170548915863037,1.1706860065460205,0
1.170823097229004,1.1709601879119873,1.1676785945892334,1.1676785945892334,0
1.1676785945892334,1.1678149700164795,1.1648223400115967,1.164958119392395,0
1.1648223400115967,1.1653653383255005,1.163873314857483,1.1644154787063599,0
1.1641442775726318,1.1659088134765625,1.1640088558197021,1.164958119392395,0
1.164958119392395,1.1650937795639038,1.163061261177063,1.1631964445114136,0
1.163061261177063,1.1642799377441406,1.163061261177063,1.1641442775726318,0
1.163873314857483,1.1644154787063599,1.163061261177063,1.1631964445114136,0
1.163061261177063,1.163873314857483,1.163061261177063,1.163602590560913,0
1.163602590560913,1.1641442775726318,1.1631964445114136,1.163602590560913,0
1.163602590560913,1.1653653383255005,1.1633317470550537,1.164958119392395,0
1.164958119392395,1.1656370162963867,1.163061261177063,1.163061261177063,0
1.1629259586334229,1.1631964445114136,1.1617100238800049,1.1621150970458984,0
1.1621150970458984,1.1644154787063599,1.1621150970458984,1.1641442775726318,0
1.1640088558197021,1.1653653383255005,1.1640088558197021,1.1653653383255005,0
1.1664528846740723,1.1684973239898682,1.1664528846740723,1.1675423383712769,0
1.1674060821533203,1.1676785945892334,1.1665889024734497,1.1665889024734497,0
1.1664528846740723,1.1671334505081177,1.1659088134765625,1.1664528846740723,0
1.1665889024734497,1.1665889024734497,1.1655012369155884,1.1656370162963867,0
1.1657729148864746,1.1657729148864746,1.1648223400115967,1.1650937795639038,0
1.1650937795639038,1.1650937795639038,1.164686679840088,1.164686679840088,0
1.1648223400115967,1.1650937795639038,1.1645511388778687,1.1650937795639038,0
1.1650937795639038,1.1650937795639038,1.1645511388778687,1.164686679840088,0
1.1645511388778687,1.164686679840088,1.1640088558197021,1.1641442775726318,0
1.1641442775726318,1.1641442775726318,1.1633317470550537,1.163602590560913,0
1.163602590560913,1.1642799377441406,1.163602590560913,1.1641442775726318,0
1.1641442775726318,1.1644154787063599,1.1641442775726318,1.1644154787063599,0
1.1644154787063599,1.1645511388778687,1.1642799377441406,1.1642799377441406,0
1.1642799377441406,1.1648223400115967,1.1642799377441406,1.1644154787063599,0
1.1642799377441406,1.164686679840088,1.1640088558197021,1.164686679840088,0
1.1645511388778687,1.164686679840088,1.1644154787063599,1.1645511388778687,0
1.1644154787063599,1.164686679840088,1.1644154787063599,1.1645511388778687,0
1.1645511388778687,1.1645511388778687,1.1640088558197021,1.1641442775726318,0
1.1641442775726318,1.1641442775726318,1.1637378931045532,1.1637378931045532,0
1.163873314857483,1.163873314857483,1.163602590560913,1.1637378931045532,0
1.163602590560913,1.1637378931045532,1.1631964445114136,1.1634671688079834,0
1.1634671688079834,1.163873314857483,1.1631964445114136,1.163602590560913,0
1.1637378931045532,1.163873314857483,1.163061261177063,1.1633317470550537,0
1.163602590560913,1.1637378931045532,1.1631964445114136,1.1633317470550537,0
1.1633317470550537,1.163873314857483,1.1633317470550537,1.163602590560913,0
1.1634671688079834,1.163602590560913,1.1629259586334229,1.163061261177063,0
1.1631964445114136,1.1633317470550537,1.1629259586334229,1.1629259586334229,0
1.163061261177063,1.163061261177063,1.1626555919647217,1.1627906560897827,0
1.1627906560897827,1.1631964445114136,1.1626555919647217,1.163061261177063,0
1.1631964445114136,1.1634671688079834,1.1631964445114136,1.1634671688079834,0
1.1634671688079834,1.1637378931045532,1.1633317470550537,1.1637378931045532,0
1.163602590560913,1.163602590560913,1.163061261177063,1.1633317470550537,0
1.1631964445114136,1.163873314857483,1.1631964445114136,1.163873314857483,0
1.1640088558197021,1.1645511388778687,1.163602590560913,1.163602590560913,0
1.1637378931045532,1.1637378931045532,1.16130530834198,1.1621150970458984,0
1.162520408630371,1.1640088558197021,1.162520408630371,1.163873314857483,0
1.1641442775726318,1.16604483127594,1.1641442775726318,1.1656370162963867,0
1.1653653383255005,1.16604483127594,1.164686679840088,1.1659088134765625,0
1.1661807298660278,1.1661807298660278,1.1656370162963867,1.1659088134765625,0
1.16604483127594,1.1667250394821167,1.1657729148864746,1.1659088134765625,0
1.1657729148864746,1.16604483127594,1.1650937795639038,1.1650937795639038,0
1.1648223400115967,1.1650937795639038,1.1644154787063599,1.164686679840088,0
1.1648223400115967,1.164958119392395,1.1644154787063599,1.1644154787063599,0
1.1644154787063599,1.1657729148864746,1.1644154787063599,1.1656370162963867,0
1.1656370162963867,1.1661807298660278,1.1655012369155884,1.1659088134765625,0
1.1657729148864746,1.16604483127594,1.1648223400115967,1.1650937795639038,0
1.1650937795639038,1.1650937795639038,1.1645511388778687,1.1650937795639038,0
1.164958119392395,1.1656370162963867,1.1642799377441406,1.1652295589447021,0
1.1663167476654053,1.1683608293533325,1.1663167476654053,1.1679514646530151,0
1.1679514646530151,1.1680878400802612,1.1665889024734497,1.1667250394821167,0
1.1667250394821167,1.1684973239898682,1.1667250394821167,1.1684973239898682,0
1.1684973239898682,1.1684973239898682,1.1676785945892334,1.1678149700164795,0
1.1678149700164795,1.1678149700164795,1.1671334505081177,1.1674060821533203,0
1.1675423383712769,1.1680878400802612,1.1672697067260742,1.1678149700164795,0
1.1680878400802612,1.1680878400802612,1.1675423383712769,1.1676785945892334,0
1.1676785945892334,1.1676785945892334,1.1663167476654053,1.1664528846740723,0
1.1661807298660278,1.1671334505081177,1.1661807298660278,1.1667250394821167,0
1.1668611764907837,1.1668611764907837,1.1663167476654053,1.1665889024734497,0
1.1663167476654053,1.1664528846740723,1.1659088134765625,1.1661807298660278,0
1.1661807298660278,1.1665889024734497,1.1661807298660278,1.1661807298660278,0
1.1661807298660278,1.1667250394821167,1.1659088134765625,1.1667250394821167,0
1.1668611764907837,1.1668611764907837,1.1664528846740723,1.1664528846740723,0
1.1667250394821167,1.1667250394821167,1.16604483127594,1.1664528846740723,0
1.1665889024734497,1.1667250394821167,1.1663167476654053,1.1664528846740723,0
1.1664528846740723,1.1667250394821167,1.1663167476654053,1.1663167476654053,0
1.1664528846740723,1.1665889024734497,1.1663167476654053,1.1663167476654053,0
1.1663167476654053,1.1665889024734497,1.1663167476654053,1.1664528846740723,0
1.1664528846740723,1.1664528846740723,1.16604483127594,1.1664528846740723,0
1.1663167476654053,1.1664528846740723,1.16604483127594,1.1663167476654053,0
1.16604483127594,1.1663167476654053,1.1659088134765625,1.1661807298660278,0
1.1663167476654053,1.1663167476654053,1.1657729148864746,1.1663167476654053,0
1.1663167476654053,1.1672697067260742,1.16604483127594,1.1663167476654053,0
1.1661807298660278,1.1661807298660278,1.1657729148864746,1.1659088134765625,0
1.1657729148864746,1.1661807298660278,1.1655012369155884,1.1656370162963867,0
1.1656370162963867,1.1659088134765625,1.1655012369155884,1.1657729148864746,0
1.1657729148864746,1.1657729148864746,1.1655012369155884,1.1656370162963867,0
1.1656370162963867,1.1659088134765625,1.1653653383255005,1.1655012369155884,0
1.1655012369155884,1.1656370162963867,1.1653653383255005,1.1655012369155884,0
1.1655012369155884,1.1656370162963867,1.1652295589447021,1.1656370162963867,0
1.1656370162963867,1.1659088134765625,1.1655012369155884,1.1659088134765625,0
1.1659088134765625,1.1664528846740723,1.1659088134765625,1.1661807298660278,0
1.1659088134765625,1.1661807298660278,1.1655012369155884,1.1655012369155884,0
1.1657729148864746,1.16604483127594,1.1648223400115967,1.1656370162963867,0
1.1656370162963867,1.1659088134765625,1.1650937795639038,1.1655012369155884,0
1.1655012369155884,1.1661807298660278,1.1653653383255005,1.1656370162963867,0
1.1655012369155884,1.1661807298660278,1.1653653383255005,1.16604483127594,0
1.1661807298660278,1.1661807298660278,1.1645511388778687,1.1645511388778687,0
1.164686679840088,1.164958119392395,1.1642799377441406,1.1645511388778687,0
1.164686679840088,1.16604483127594,1.164686679840088,1.1659088134765625,0
1.1657729148864746,1.1661807298660278,1.1656370162963867,1.1656370162963867,0
1.1655012369155884,1.1656370162963867,1.1645511388778687,1.164686679840088,0
1.164686679840088,1.164958119392395,1.1644154787063599,1.164686679840088,0
1.164958119392395,1.1657729148864746,1.164686679840088,1.1648223400115967,0
1.164686679840088,1.164958119392395,1.163602590560913,1.164958119392395,0
1.1650937795639038,1.1656370162963867,1.1641442775726318,1.1655012369155884,0
1.1656370162963867,1.1657729148864746,1.1653653383255005,1.1653653383255005,0
1.1641442775726318,1.1652295589447021,1.1641442775726318,1.1644154787063599,0
1.1644154787063599,1.1644154787063599,1.163602590560913,1.163873314857483,0
1.1640088558197021,1.1645511388778687,1.1634671688079834,1.1644154787063599,0
1.1644154787063599,1.1653653383255005,1.1644154787063599,1.1650937795639038,0
1.164958119392395,1.1652295589447021,1.1637378931045532,1.1640088558197021,0
1.1641442775726318,1.164686679840088,1.1640088558197021,1.1644154787063599,0
1.1641442775726318,1.1642799377441406,1.163873314857483,1.1641442775726318,0
1.1640088558197021,1.1641442775726318,1.163873314857483,1.1640088558197021,0
1.1641442775726318,1.164958119392395,1.1641442775726318,1.164958119392395,0
1.1648223400115967,1.1650937795639038,1.164686679840088,1.164686679840088,0
1.1648223400115967,1.1655012369155884,1.1648223400115967,1.1650937795639038,0
1.164958119392395,1.1655012369155884,1.164958119392395,1.1653653383255005,0
1.1655012369155884,1.1656370162963867,1.1652295589447021,1.1655012369155884,0
1.1655012369155884,1.1656370162963867,1.1652295589447021,1.1652295589447021,0
1.1656370162963867,1.1659088134765625,1.1648223400115967,1.1655012369155884,0
1.1652295589447021,1.1655012369155884,1.1652295589447021,1.1652295589447021,0
1.1652295589447021,1.1656370162963867,1.1652295589447021,1.1653653383255005,0
1.1653653383255005,1.1656370162963867,1.1652295589447021,1.1652295589447021,0
1.1653653383255005,1.1655012369155884,1.1652295589447021,1.1655012369155884,0
1.1655012369155884,1.16604483127594,1.1655012369155884,1.16604483127594,0
1.16604483127594,1.1661807298660278,1.1656370162963867,1.1659088134765625,0
1.1659088134765625,1.1664528846740723,1.1659088134765625,1.1663167476654053,0
1.1664528846740723,1.1667250394821167,1.1664528846740723,1.1667250394821167,0
1.1665889024734497,1.1674060821533203,1.1665889024734497,1.1674060821533203,0
1.1674060821533203,1.1678149700164795,1.1672697067260742,1.1675423383712769,0
1.1676785945892334,1.1676785945892334,1.1671334505081177,1.1671334505081177,0
1.1671334505081177,1.1675423383712769,1.1669973134994507,1.1675423383712769,0
1.1675423383712769,1.1676785945892334,1.1674060821533203,1.1675423383712769,0
1.1674060821533203,1.1675423383712769,1.1672697067260742,1.1672697067260742,0
1.1672697067260742,1.1672697067260742,1.1668611764907837,1.1669973134994507,0
1.1669973134994507,1.1674060821533203,1.1669973134994507,1.1672697067260742,0
1.1672697067260742,1.1680878400802612,1.1671334505081177,1.1680878400802612,0
1.1678149700164795,1.1680878400802612,1.1668611764907837,1.1675423383712769,0
1.1675423383712769,1.1678149700164795,1.1672697067260742,1.1672697067260742,0
1.1672697067260742,1.1676785945892334,1.1669973134994507,1.1675423383712769,0
1.1675423383712769,1.1682243347167969,1.1674060821533203,1.1680878400802612,0
1.1679514646530151,1.168770432472229,1.1679514646530151,1.1683608293533325,0
1.1682243347167969,1.168770432472229,1.1679514646530151,1.1686338186264038,0
1.1686338186264038,1.1695905923843384,1.1684973239898682,1.1693171262741089,0
1.1693171262741089,1.1693171262741089,1.168770432472229,1.1691803932189941,0
1.1690436601638794,1.169864296913147,1.1690436601638794,1.169864296913147,0
1.1697274446487427,1.1700011491775513,1.1695905923843384,1.1695905923843384,0
1.1693171262741089,1.1694538593292236,1.168770432472229,1.168770432472229,0
1.168770432472229,1.1690436601638794,1.1682243347167969,1.1690436601638794,0
1.1690436601638794,1.170548915863037,1.1690436601638794,1.1702749729156494,0
1.1742602586746216,1.1745359897613525,1.1726078987121582,1.1737089157104492,0
1.1741223335266113,1.1741223335266113,1.1719207763671875,1.172333002090454,0
1.172333002090454,1.175364375114441,1.172195553779602,1.1750881671905518,0
1.1750881671905518,1.1761938333511353,1.17384672164917,1.17384672164917,0
1.1739845275878906,1.1739845275878906,1.1727453470230103,1.1739845275878906,0
1.1741223335266113,1.1752262115478516,1.1739845275878906,1.1749500036239624,0
1.1750881671905518,1.1761938333511353,1.1748120784759521,1.1761938333511353,0
1.1763322353363037,1.1763322353363037,1.175364375114441,1.1755025386810303,0
1.1755025386810303,1.1755025386810303,1.1741223335266113,1.1741223335266113,0
1.1742602586746216,1.1742602586746216,1.1730204820632935,1.1735711097717285,0
1.1737089157104492,1.17384672164917,1.1728830337524414,1.1728830337524414,0
1.1727453470230103,1.1727453470230103,1.172195553779602,1.172195553779602,0
1.17205810546875,1.172333002090454,1.171783447265625,1.17205810546875,0
1.172195553779602,1.1726078987121582,1.17205810546875,1.172195553779602,0
