o,h,l,c,v,timestamp
1415.0999755859375,1415.699951171875,1414.699951171875,1415.5999755859375,43780,2025-09-18 05:55:00+00:00
1415.300048828125,1415.699951171875,1414.199951171875,1415.5,104273,2025-09-18 06:00:00+00:00
1415.300048828125,1417.0,1415.300048828125,1415.4000244140625,102164,2025-09-18 06:05:00+00:00
1415.5,1415.5,1414.800048828125,1415.0,23906,2025-09-18 06:10:00+00:00
1415.0999755859375,1416.0,1414.9000244140625,1415.9000244140625,56265,2025-09-18 06:15:00+00:00
1415.9000244140625,1416.5,1415.5,1416.0999755859375,60448,2025-09-18 06:20:00+00:00
1416.199951171875,1416.199951171875,1415.5999755859375,1415.800048828125,40051,2025-09-18 06:25:00+00:00
1415.800048828125,1415.9000244140625,1413.300048828125,1413.5,152760,2025-09-18 06:30:00+00:00
1413.5,1415.0,1413.300048828125,1414.9000244140625,92020,2025-09-18 06:35:00+00:00
1414.9000244140625,1415.300048828125,1414.0,1414.800048828125,243638,2025-09-18 06:40:00+00:00
1415.300048828125,1415.4000244140625,1413.5999755859375,1414.0,121616,2025-09-18 06:45:00+00:00
1414.300048828125,1414.800048828125,1413.699951171875,1414.5999755859375,43882,2025-09-18 06:50:00+00:00
1414.5,1415.0,1414.0999755859375,1414.5,51858,2025-09-18 06:55:00+00:00
1414.800048828125,1414.9000244140625,1413.4000244140625,1413.4000244140625,36009,2025-09-18 07:00:00+00:00
1413.0999755859375,1414.800048828125,1412.5999755859375,1414.0,135663,2025-09-18 07:05:00+00:00
1413.5,1414.199951171875,1411.699951171875,1413.0,113030,2025-09-18 07:10:00+00:00
1412.800048828125,1413.300048828125,1411.4000244140625,1412.0,151212,2025-09-18 07:15:00+00:00
1411.9000244140625,1415.0,1410.699951171875,1414.5999755859375,250409,2025-09-18 07:20:00+00:00
1415.0,1416.0,1413.5,1415.5,135678,2025-09-18 07:25:00+00:00
1415.5,1415.5,1412.9000244140625,1413.800048828125,79268,2025-09-18 07:30:00+00:00
1413.800048828125,1413.800048828125,1412.300048828125,1412.5999755859375,177491,2025-09-18 07:35:00+00:00
1412.300048828125,1413.5,1411.699951171875,1412.300048828125,106376,2025-09-18 07:40:00+00:00
1412.5999755859375,1413.800048828125,1412.199951171875,1413.300048828125,51026,2025-09-18 07:45:00+00:00
1413.4000244140625,1415.0,1413.300048828125,1414.800048828125,119395,2025-09-18 07:50:00+00:00
1414.800048828125,1415.0,1413.5999755859375,1414.0,60799,2025-09-18 07:55:00+00:00
