o,h,l,c,v,timestamp
1505.9852937598653,1508.9733598189127,1484.3716645666439,1489.2520751953125,7234991,2025-07-11
1486.263916129696,1494.0329360309418,1473.2160528053016,1477.7977294921875,10311846,2025-07-14
1480.2878335086834,1490.5469086437597,1476.503022895967,1479.4910888671875,8132454,2025-07-15
1467.1403332858122,1485.068728397248,1465.6463003598592,1479.690185546875,10409983,2025-07-16
1481.4830970988435,1483.674296790977,1468.0368005528198,1470.52685546875,11854613,2025-07-17
1478.8934598804974,1478.8934598804974,1463.2558421043927,1470.12841796875,10296318,2025-07-18
1459.1722169809668,1470.128458883213,1417.4388712363768,1422.9169921875,22442744,2025-07-21
1421.721828538219,1426.2039275426996,1405.0881881707605,1407.179931640625,20396320,2025-07-22
1420.3273163904719,1420.3273163904719,1408.7734859597779,1418.932861328125,8354596,2025-07-23
1413.554298653669,1417.3392306864348,1390.4466381154343,1397.3192138671875,14740507,2025-07-24
1393.3351272649268,1395.4267490386208,1378.593953801798,1386.1636962890625,11854722,2025-07-25
1386.7614543919697,1402.199795115413,1379.490445288333,1382.080078125,7748361,2025-07-28
1377.4984422704579,1414.550412474214,1377.4984422704579,1411.4627685546875,10750072,2025-07-29
1412.458776601272,1417.6381639620695,1395.7256799199,1404.4906005859375,7209849,2025-07-30
1382.5780559389787,1397.0203743336986,1376.7015020683227,1384.669677734375,17065827,2025-07-31
1381.3828853186424,1400.3073026227253,1378.7932525308158,1388.15576171875,10321171,2025-08-01
1389.5502251510159,1410.466686507784,1386.1637261382157,1405.885009765625,6312820,2025-08-04
1405.38696851784,1405.38696851784,1382.5780415934858,1386.1636962890625,9315972,2025-08-05
1386.3630773472378,1390.3471654369864,1377.797312271222,1387.259521484375,5834312,2025-08-06
1382.1796145349972,1388.1557462486337,1360.5659868045632,1383.8729248046875,9976705,2025-08-07
1379.4904158119157,1391.6418351007062,1359.569976594415,1362.35888671875,8793606,2025-08-08
1364.5501609316866,1382.4785572067015,1355.7851185633474,1380.6856689453125,9997486,2025-08-11
1376.4028464986861,1396.3232867936674,1369.7294260490362,1374.9088134765625,12244664,2025-08-12
1382.4785186353236,1386.2634508216695,1372.0202877666845,1377.0999755859375,7457021,2025-08-13
1377.300048828125,1380.699951171875,1370.0999755859375,1373.800048828125,7126128,2025-08-14
1390.0,1394.9000244140625,1377.0,1381.699951171875,11785109,2025-08-18
1390.0,1421.0,1389.0999755859375,1420.0999755859375,14384719,2025-08-19
1413.0,1424.9000244140625,1410.0,1413.0,8725641,2025-08-20
1425.0,1431.9000244140625,1420.300048828125,1424.800048828125,11021323,2025-08-21
1420.0,1423.4000244140625,1407.9000244140625,1409.199951171875,5818868,2025-08-22
1414.699951171875,1419.5,1405.699951171875,1412.5999755859375,5979407,2025-08-25
1408.0,1410.0,1381.5999755859375,1384.9000244140625,12145259,2025-08-26
1389.9000244140625,1392.199951171875,1366.5,1385.9000244140625,13161813,2025-08-28
1381.0999755859375,1403.5,1350.0,1357.199951171875,18758842,2025-08-29
1356.0,1363.199951171875,1340.5999755859375,1353.9000244140625,11232238,2025-09-01
1354.800048828125,1384.5,1354.5,1366.5,11517006,2025-09-02
1369.699951171875,1376.5,1360.5,1372.5999755859375,7847563,2025-09-03
1371.800048828125,1374.0,1357.0999755859375,1359.300048828125,13223177,2025-09-04
1363.0,1381.0,1359.300048828125,1375.0,5777575,2025-09-05
1380.0,1386.0,1372.4000244140625,1378.5,6986720,2025-09-08
1376.5999755859375,1381.199951171875,1368.699951171875,1376.199951171875,9754452,2025-09-09
1383.9000244140625,1388.5,1374.0999755859375,1377.0,7790815,2025-09-10
1376.0,1385.5,1375.0,1383.300048828125,9766072,2025-09-11
1383.300048828125,1396.300048828125,1380.5,1395.0,7403368,2025-09-12
1393.0,1400.800048828125,1388.5999755859375,1399.300048828125,5396697,2025-09-15
1404.699951171875,1408.0,1398.199951171875,1405.300048828125,8686961,2025-09-16
1407.0,1416.199951171875,1406.9000244140625,1413.800048828125,7519417,2025-09-17
1420.4000244140625,1422.0,1410.699951171875,1415.0,9332642,2025-09-18
1414.9000244140625,1417.0,1403.5999755859375,1407.4000244140625,13461373,2025-09-19
1403.9000244140625,1410.699951171875,1388.0,1390.5999755859375,7757970,2025-09-22
1391.0,1395.0,1376.800048828125,1389.800048828125,14014702,2025-09-23
1385.300048828125,1396.0,1380.4000244140625,1383.0,5922759,2025-09-24
1381.300048828125,1384.5,1369.0,1372.4000244140625,11411143,2025-09-25
1372.0,1382.699951171875,1366.0,1377.5999755859375,9879109,2025-09-26
1381.5999755859375,1389.0,1368.0,1372.800048828125,14231999,2025-09-29
1377.0999755859375,1377.0999755859375,1362.800048828125,1364.0,14604684,2025-09-30
1367.0,1378.5999755859375,1362.699951171875,1368.699951171875,12045916,2025-10-01
1363.199951171875,1371.5999755859375,1356.9000244140625,1363.4000244140625,12842347,2025-10-03
1360.0,1377.4000244140625,1359.0,1375.0,12396580,2025-10-06
1376.0,1395.9000244140625,1375.9000244140625,1384.800048828125,11244040,2025-10-07
1384.800048828125,1389.0,1364.5,1367.4000244140625,8525081,2025-10-08
1374.0,1380.0,1369.0999755859375,1377.800048828125,8826633,2025-10-09
1377.800048828125,1388.0,1375.0999755859375,1381.699951171875,6373084,2025-10-10
1376.9000244140625,1377.699951171875,1367.800048828125,1375.0,7600682,2025-10-13
1380.0,1388.0,1370.0999755859375,1375.9000244140625,9768174,2025-10-14
1383.0,1384.0,1372.699951171875,1374.300048828125,10882743,2025-10-15
1375.0999755859375,1400.5,1375.0,1398.300048828125,12315932,2025-10-16
1401.0,1423.300048828125,1399.0999755859375,1416.800048828125,19335561,2025-10-17
