o,h,l,c,v,timestamp
50.040000915527344,50.2400016784668,49.79499816894531,50.22999954223633,275075,2025-09-22 13:30:00+00:00
50.2599983215332,50.2599983215332,49.875,49.90999984741211,130410,2025-09-22 14:30:00+00:00
49.90999984741211,50.02000045776367,49.869998931884766,49.970001220703125,80672,2025-09-22 15:30:00+00:00
49.959999084472656,49.996498107910156,49.724998474121094,49.7864990234375,102278,2025-09-22 16:30:00+00:00
49.790000915527344,49.939998626708984,49.75469970703125,49.935001373291016,56769,2025-09-22 17:30:00+00:00
49.935001373291016,49.97999954223633,49.810001373291016,49.81999969482422,151309,2025-09-22 18:30:00+00:00
49.810001373291016,49.82500076293945,49.595001220703125,49.65999984741211,195448,2025-09-22 19:30:00+00:00
50.040000915527344,50.19499969482422,49.93989944458008,49.959999084472656,178901,2025-09-23 13:30:00+00:00
49.96500015258789,50.083499908447266,49.839900970458984,50.06999969482422,82232,2025-09-23 14:30:00+00:00
50.04990005493164,50.05540084838867,49.845001220703125,49.970699310302734,44518,2025-09-23 15:30:00+00:00
49.97990036010742,50.029998779296875,49.779998779296875,49.79499816894531,50248,2025-09-23 16:30:00+00:00
49.760101318359375,49.79999923706055,49.5,49.619998931884766,199702,2025-09-23 17:30:00+00:00
49.6150016784668,49.6150016784668,49.470001220703125,49.50619888305664,101509,2025-09-23 18:30:00+00:00
49.52989959716797,49.52989959716797,49.400001525878906,49.459999084472656,139838,2025-09-23 19:30:00+00:00
50.06999969482422,50.16999816894531,49.970001220703125,50.130001068115234,120916,2025-09-24 13:30:00+00:00
50.13999938964844,50.47999954223633,50.11000061035156,50.36000061035156,198001,2025-09-24 14:30:00+00:00
50.36000061035156,50.38999938964844,50.130001068115234,50.314998626708984,120768,2025-09-24 15:30:00+00:00
50.34000015258789,50.4900016784668,50.310001373291016,50.420101165771484,97945,2025-09-24 16:30:00+00:00
50.439998626708984,50.5,50.310001373291016,50.375,57371,2025-09-24 17:30:00+00:00
50.3650016784668,50.3849983215332,50.27000045776367,50.27000045776367,70553,2025-09-24 18:30:00+00:00
50.27479934692383,50.290000915527344,50.18000030517578,50.27000045776367,83314,2025-09-24 19:30:00+00:00
49.45000076293945,49.472599029541016,48.97999954223633,49.38999938964844,375133,2025-09-25 13:30:00+00:00
49.3942985534668,49.4900016784668,49.08760070800781,49.119998931884766,199068,2025-09-25 14:30:00+00:00
49.119998931884766,49.439998626708984,49.09519958496094,49.189998626708984,198118,2025-09-25 15:30:00+00:00
49.189998626708984,49.269901275634766,48.63999938964844,48.659698486328125,329285,2025-09-25 16:30:00+00:00
48.66999816894531,48.689998626708984,48.060001373291016,48.41680145263672,539704,2025-09-25 17:30:00+00:00
48.41999816894531,48.689998626708984,48.34000015258789,48.61000061035156,284503,2025-09-25 18:30:00+00:00
48.619998931884766,48.64500045776367,48.380001068115234,48.38999938964844,126906,2025-09-25 19:30:00+00:00
48.380001068115234,48.65999984741211,48.209999084472656,48.29999923706055,333578,2025-09-26 13:30:00+00:00
48.27000045776367,48.399898529052734,48.130001068115234,48.39500045776367,432150,2025-09-26 14:30:00+00:00
48.38999938964844,48.54499816894531,48.25,48.4900016784668,79679,2025-09-26 15:30:00+00:00
48.5098991394043,48.70000076293945,48.385398864746094,48.69499969482422,86157,2025-09-26 16:30:00+00:00
48.70000076293945,48.86000061035156,48.59000015258789,48.82500076293945,108743,2025-09-26 17:30:00+00:00
48.779998779296875,48.790000915527344,48.38999938964844,48.38999938964844,104717,2025-09-26 18:30:00+00:00
48.400001525878906,48.40999984741211,48.27159881591797,48.349998474121094,74730,2025-09-26 19:30:00+00:00
