entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason,holding_period,symbol,timeframe
2024-12-12 12:45:00,2024-12-12 14:00:00,short,2706.465,2690.475,2709.983642857143,2695.9090714285717,15.990000000000236,take_profit,5.0,EURUSD,15m
2024-12-12 14:00:00,2024-12-13 08:45:00,short,2690.475,2674.865,2695.4455714285714,2675.5632857142855,15.610000000000127,take_profit,75.0,EURUSD,15m
2024-12-13 08:45:00,2024-12-13 13:30:00,short,2674.865,2662.885,2678.455071428571,2664.0947857142855,11.979999999999563,take_profit,19.0,EURUSD,15m
2024-12-13 13:30:00,2024-12-13 20:00:00,short,2662.885,2651.035,2666.614642857143,2651.6960714285715,11.850000000000364,take_profit,26.0,EURUSD,15m
2024-12-13 20:00:00,2024-12-16 01:15:00,short,2651.035,2653.785,2653.4449999999997,2643.8050000000003,-2.75,stop_loss,213.0,EURUSD,15m
2024-12-16 01:15:00,2024-12-16 08:15:00,short,2653.785,2658.248,2656.773142857143,2644.8205714285714,-4.463000000000193,stop_loss,28.0,EURUSD,15m
2024-12-16 08:15:00,2024-12-16 11:15:00,short,2658.248,2662.425,2660.8906428571427,2650.3200714285713,-4.177000000000135,stop_loss,12.0,EURUSD,15m
2024-12-16 11:15:00,2024-12-16 15:00:00,short,2662.425,2652.885,2665.2500714285716,2653.949785714286,9.539999999999964,take_profit,15.0,EURUSD,15m
2024-12-16 15:00:00,2024-12-17 01:00:00,short,2652.885,2657.145,2656.624142857143,2641.6675714285716,-4.2599999999997635,stop_loss,40.0,EURUSD,15m
2024-12-17 01:00:00,2024-12-17 04:30:00,short,2657.145,2652.355,2658.7298571428573,2652.390428571429,4.789999999999964,take_profit,14.0,EURUSD,15m
2024-12-17 04:30:00,2024-12-17 07:15:00,short,2652.355,2655.555,2654.4965,2645.9305,-3.199999999999818,stop_loss,11.0,EURUSD,15m
2024-12-17 07:15:00,2024-12-17 08:45:00,short,2655.555,2644.085,2658.4522857142856,2646.8631428571425,11.4699999999998,take_profit,6.0,EURUSD,15m
