entry_time,entry_price,exit_time,exit_price,pnl
2025-09-18 02:35:00+00:00,1.182172775268555,2025-09-18 03:40:00+00:00,1.1817537546157837,-0.00041902065277121814
2025-09-18 06:55:00+00:00,1.1798018217086792,2025-09-18 08:50:00+00:00,1.1832919120788574,0.0034900903701782227
2025-09-18 09:10:00+00:00,1.1841325759887695,2025-09-18 10:35:00+00:00,1.1838523149490356,-0.0002802610397338867
2025-09-18 14:45:00+00:00,1.178133845329285,2025-09-18 16:10:00+00:00,1.178133845329285,0.0
2025-09-18 17:00:00+00:00,1.1792453527450562,2025-09-18 18:20:00+00:00,1.178828239440918,-0.0004171133041381836
2025-09-18 19:25:00+00:00,1.1791062355041504,2025-09-18 19:50:00+00:00,1.178828239440918,-0.0002779960632324219
2025-09-18 21:05:00+00:00,1.1789672374725342,2025-09-18 22:30:00+00:00,1.1789672374725342,0.0
2025-09-18 23:10:00+00:00,1.1791062355041504,2025-09-19 00:10:00+00:00,1.178133845329285,-0.0009723901748655006
2025-09-19 02:55:00+00:00,1.178272724151611,2025-09-19 04:25:00+00:00,1.178272724151611,0.0
2025-09-19 07:40:00+00:00,1.177440166473389,2025-09-19 08:10:00+00:00,1.1761938333511353,-0.00124633312225364
2025-09-19 09:25:00+00:00,1.176885962486267,2025-09-19 10:10:00+00:00,1.1764705181121826,-0.00041544437408447266
2025-09-19 13:15:00+00:00,1.1756407022476196,2025-09-19 15:15:00+00:00,1.1750881671905518,-0.0005525350570678711
2025-09-19 17:00:00+00:00,1.1757789850234983,2025-09-19 18:20:00+00:00,1.1750881671905518,-0.0006908178329465553
2025-09-22 01:25:00+00:00,1.1739845275878906,2025-09-22 02:05:00+00:00,1.1735711097717283,-0.0004134178161623314
2025-09-22 03:20:00+00:00,1.1737089157104492,2025-09-22 04:25:00+00:00,1.1730204820632937,-0.0006884336471555397
2025-09-22 05:25:00+00:00,1.1737089157104492,2025-09-22 11:15:00+00:00,1.177440166473389,0.003731250762939675
2025-09-22 12:00:00+00:00,1.178828239440918,2025-09-22 13:45:00+00:00,1.177440166473389,-0.0013880729675290748
2025-09-22 15:25:00+00:00,1.1775789260864258,2025-09-22 21:10:00+00:00,1.179940938949585,0.0023620128631591797
