entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason,holding_period,symbol,timeframe
2024-12-30 16:30:00,2024-12-30 18:45:00,short,1.03885,1.04044,1.0403357142857144,1.0338500000000002,-0.0015899999999999803,stop_loss,9.0,EURUSD,15m
2024-12-30 18:45:00,2024-12-31 08:45:00,short,1.04044,1.04183,1.04144,1.0354400000000001,-0.0013900000000000023,stop_loss,56.0,EURUSD,15m
2024-12-31 08:45:00,2024-12-31 15:30:00,short,1.04183,1.03645,1.04283,1.0368300000000001,0.00537999999999994,take_profit,27.0,EURUSD,15m
2024-12-31 15:30:00,2025-01-02 13:45:00,short,1.03645,1.03133,1.0375014285714286,1.0314500000000002,0.005120000000000013,take_profit,185.0,EURUSD,15m
2025-01-02 13:45:00,2025-01-02 16:00:00,short,1.03133,1.02574,1.0325692857142859,1.0263300000000002,0.005589999999999984,take_profit,9.0,EURUSD,15m
2025-01-02 16:00:00,2025-01-03 06:00:00,short,1.02574,1.02742,1.027417142857143,1.0207085714285715,-0.0016799999999999038,stop_loss,56.0,EURUSD,15m
2025-01-03 06:00:00,2025-01-03 08:00:00,short,1.02742,1.02844,1.02842,1.02242,-0.0010200000000000209,stop_loss,8.0,EURUSD,15m
2025-01-03 08:00:00,2025-01-03 09:15:00,short,1.02844,1.02962,1.02944,1.0234400000000001,-0.0011799999999999589,stop_loss,5.0,EURUSD,15m
2025-01-03 09:15:00,2025-01-03 20:00:00,short,1.02962,1.03065,1.0306199999999999,1.02462,-0.0010300000000000864,stop_loss,43.0,EURUSD,15m
2025-01-03 20:00:00,2025-01-06 02:00:00,short,1.03065,1.03168,1.03165,1.0256500000000002,-0.0010299999999998644,stop_loss,216.0,EURUSD,15m
2025-01-06 02:00:00,2025-01-06 07:45:00,short,1.03168,1.03272,1.0326799999999998,1.02668,-0.001040000000000152,stop_loss,23.0,EURUSD,15m
2025-01-06 07:45:00,2025-01-06 08:15:00,short,1.03272,1.03402,1.03372,1.0277200000000002,-0.0012999999999998568,stop_loss,2.0,EURUSD,15m
2025-01-06 08:15:00,2025-01-06 09:00:00,short,1.03402,1.03569,1.0350199999999998,1.02902,-0.0016700000000000603,stop_loss,3.0,EURUSD,15m
2025-01-06 09:00:00,2025-01-06 11:00:00,short,1.03569,1.03785,1.03669,1.03069,-0.0021599999999999397,stop_loss,8.0,EURUSD,15m
2025-01-06 11:00:00,2025-01-06 11:15:00,short,1.03785,1.04134,1.03932,1.03285,-0.003489999999999993,stop_loss,1.0,EURUSD,15m
2025-01-06 11:15:00,2025-01-06 13:15:00,short,1.04134,1.04355,1.0430371428571428,1.0362485714285714,-0.0022100000000000453,stop_loss,8.0,EURUSD,15m
2025-01-06 13:15:00,2025-01-06 14:30:00,short,1.04355,1.03687,1.0454835714285715,1.0377492857142856,0.006680000000000019,take_profit,5.0,EURUSD,15m
2025-01-06 14:30:00,2025-01-06 14:45:00,short,1.03687,1.03925,1.039062142857143,1.0302935714285713,-0.0023800000000000487,stop_loss,1.0,EURUSD,15m
2025-01-06 14:45:00,2025-01-07 07:30:00,short,1.03925,1.04229,1.04138,1.03286,-0.0030399999999999316,stop_loss,67.0,EURUSD,15m
2025-01-07 07:30:00,2025-01-07 15:00:00,short,1.04229,1.03681,1.0432899999999998,1.03729,0.005479999999999929,take_profit,30.0,EURUSD,15m
2025-01-07 15:00:00,2025-01-07 15:15:00,short,1.03681,1.03791,1.0378785714285714,1.0318100000000001,-0.001100000000000101,stop_loss,1.0,EURUSD,15m
2025-01-07 15:15:00,2025-01-08 08:15:00,short,1.03791,1.03254,1.0390457142857144,1.0329100000000002,0.005370000000000097,take_profit,68.0,EURUSD,15m
2025-01-08 08:15:00,2025-01-10 13:30:00,short,1.03254,1.02504,1.03354,1.0275400000000001,0.007500000000000062,take_profit,213.0,EURUSD,15m
2025-01-10 13:30:00,2025-01-10 14:30:00,short,1.02504,1.02722,1.0261735714285714,1.02004,-0.0021800000000000708,stop_loss,4.0,EURUSD,15m
2025-01-10 14:30:00,2025-01-13 03:30:00,short,1.02722,1.02173,1.0288164285714285,1.0222200000000001,0.005489999999999995,take_profit,244.0,EURUSD,15m
2025-01-13 03:30:00,2025-01-13 08:00:00,short,1.02173,1.02289,1.02273,1.0167300000000001,-0.0011600000000000499,stop_loss,18.0,EURUSD,15m
2025-01-13 08:00:00,2025-01-13 21:45:00,short,1.02289,1.02441,1.02389,1.0178900000000002,-0.0015199999999999658,stop_loss,55.0,EURUSD,15m
