entry_time,entry_price,exit_time,exit_price,pnl
2025-09-10 05:30:00+00:00,1895.5,2025-09-10 06:00:00+00:00,1891.699951171875,-3.800048828125
2025-09-11 04:15:00+00:00,1891.9000244140625,2025-09-12 08:30:00+00:00,1908.4000244140625,16.5
2025-09-15 09:30:00+00:00,1903.300048828125,2025-09-18 03:45:00+00:00,1940.4000244140625,37.0999755859375
2025-09-18 07:30:00+00:00,1940.800048828125,2025-09-19 05:15:00+00:00,1937.800048828125,-3.0
2025-09-19 07:30:00+00:00,1946.9000244140625,2025-09-22 06:15:00+00:00,1955.800048828125,8.9000244140625
2025-09-22 08:30:00+00:00,1964.5999755859373,2025-09-23 04:00:00+00:00,1934.0999755859373,-30.5
2025-09-23 08:15:00+00:00,1942.5999755859373,2025-09-24 04:00:00+00:00,1920.699951171875,-21.900024414062273
2025-09-24 08:00:00+00:00,1933.4000244140625,2025-09-26 04:00:00+00:00,1931.699951171875,-1.7000732421875
2025-09-29 07:30:00+00:00,1918.0,2025-09-29 09:30:00+00:00,1900.5999755859373,-17.400024414062727
2025-10-01 08:30:00+00:00,1866.300048828125,2025-10-09 04:15:00+00:00,1939.300048828125,73.0
2025-10-10 04:00:00+00:00,1941.5999755859373,2025-10-10 06:45:00+00:00,1939.300048828125,-2.2999267578122726
2025-10-10 07:15:00+00:00,1940.800048828125,2025-10-10 07:30:00+00:00,1938.800048828125,-2.0
2025-10-13 03:45:00+00:00,1953.5,2025-10-13 07:45:00+00:00,1951.5999755859373,-1.9000244140627274
2025-10-13 09:30:00+00:00,1953.800048828125,2025-10-14 04:45:00+00:00,1942.699951171875,-11.10009765625
2025-10-14 09:15:00+00:00,1948.699951171875,2025-10-16 07:00:00+00:00,1972.699951171875,24.0
2025-10-17 04:15:00+00:00,1987.5,2025-10-17 09:45:00+00:00,2012.0,24.5
