entry_date,entry_price,trade_type,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2021-07-28 15:00:00,1801.721,long,1783.70379,1855.7726300000002,2021-07-28 18:15:00,1798.597,-3.1240000000000236,Opposing Signal
2021-07-28 18:30:00,1801.498,long,1783.4830200000001,1855.54294,2021-07-29 19:45:00,1828.748,27.25,Opposing Signal
2021-07-29 23:15:00,1830.348,long,1812.04452,1885.25844,2021-07-30 00:15:00,1828.068,-2.2799999999999727,Opposing Signal
2021-07-30 07:00:00,1829.648,long,1811.35152,1884.53744,2021-07-30 10:00:00,1827.778,-1.8699999999998909,Opposing Signal
2021-08-02 00:30:00,1815.698,long,1797.5410200000001,1870.1689400000002,2021-08-02 01:15:00,1811.748,-3.9500000000000455,Opposing Signal
2021-08-02 11:45:00,1811.278,long,1793.16522,1865.61634,2021-08-02 12:15:00,1808.078,-3.2000000000000455,Opposing Signal
2021-08-02 12:30:00,1809.908,long,1791.80892,1864.20524,2021-08-02 12:45:00,1806.618,-3.2899999999999636,Opposing Signal
2021-08-02 13:15:00,1809.358,long,1791.26442,1863.63874,2021-08-02 19:30:00,1813.248,3.8900000000001,Opposing Signal
2021-08-03 08:45:00,1810.628,long,1792.52172,1864.94684,2021-08-03 09:00:00,1809.458,-1.1699999999998454,Opposing Signal
2021-08-03 10:15:00,1811.268,long,1793.15532,1865.6060400000001,2021-08-03 11:00:00,1809.258,-2.009999999999991,Opposing Signal
2021-08-03 13:00:00,1811.788,long,1793.67012,1866.14164,2021-08-03 15:00:00,1808.778,-3.009999999999991,Opposing Signal
2021-08-03 17:00:00,1811.098,long,1792.98702,1865.43094,2021-08-03 17:45:00,1809.998,-1.099999999999909,Opposing Signal
2021-08-03 19:15:00,1810.906,long,1792.79694,1865.23318,2021-08-03 20:30:00,1810.118,-0.7880000000000109,Opposing Signal
2021-08-03 23:00:00,1810.758,long,1792.65042,1865.08074,2021-08-04 00:30:00,1810.298,-0.4600000000000364,Opposing Signal
2021-08-04 01:45:00,1812.798,long,1794.67002,1867.18194,2021-08-04 08:45:00,1811.298,-1.5,Opposing Signal
2021-08-04 09:45:00,1814.808,long,1796.65992,1869.25224,2021-08-04 14:30:00,1812.328,-2.480000000000018,Opposing Signal
2021-08-05 04:30:00,1810.868,long,1792.75932,1865.19404,2021-08-05 05:00:00,1810.655,-0.21299999999996544,Opposing Signal
2021-08-05 07:15:00,1811.728,long,1793.6107200000001,1866.07984,2021-08-05 08:30:00,1808.671,-3.0570000000000164,Opposing Signal
2021-08-05 09:15:00,1810.908,long,1792.79892,1865.23524,2021-08-05 10:00:00,1810.298,-0.6099999999999,Opposing Signal
2021-08-05 10:15:00,1812.458,long,1794.3334200000002,1866.83174,2021-08-05 12:45:00,1809.085,-3.3730000000000473,Opposing Signal
2021-08-06 12:15:00,1799.618,long,1781.6218199999998,1853.60654,2021-08-06 12:30:00,1781.6218199999998,-17.996180000000095,Stop Loss
2021-08-09 02:15:00,1739.408,long,1722.0139199999999,1791.59024,2021-08-09 10:00:00,1743.048,3.6400000000001,Opposing Signal
2021-08-09 11:30:00,1746.698,long,1729.2310200000002,1799.09894,2021-08-09 12:45:00,1738.028,-8.670000000000073,Opposing Signal
2021-08-09 22:30:00,1730.968,long,1713.65832,1782.89704,2021-08-10 08:15:00,1734.078,3.1099999999999,Opposing Signal
2021-08-10 15:45:00,1731.378,long,1714.06422,1783.31934,2021-08-10 20:00:00,1728.708,-2.6699999999998454,Opposing Signal
2021-08-11 01:45:00,1730.838,long,1713.52962,1782.76314,2021-08-11 06:30:00,1730.715,-0.1230000000000473,Opposing Signal
2021-08-11 08:30:00,1732.308,long,1714.9849199999999,1784.2772400000001,2021-08-12 01:00:00,1749.168,16.8599999999999,Opposing Signal
2021-08-12 04:15:00,1751.935,long,1734.41565,1804.49305,2021-08-12 10:15:00,1752.188,0.25300000000015643,Opposing Signal
2021-08-12 15:45:00,1751.578,long,1734.06222,1804.12534,2021-08-16 02:15:00,1777.778,26.200000000000045,Opposing Signal
