entry_date,entry_price,trade_type,stop_loss,initial_tp,tp_activated,exit_date,exit_price,exit_reason,pnl,returns
2021-10-21 04:00:00,1.16561,short,1.167358415,1.1615303650000002,True,2021-10-25 18:00:00,1.1615,Trailing Take Profit (EMA Cross),0.004110000000000058,0.003526050737382193
2021-11-01 05:00:00,1.15577,long,1.154036345,1.159815195,True,2021-11-01 23:30:00,1.15998,Trailing Take Profit (EMA Cross),0.004210000000000047,0.0036425932495220046
2021-11-02 08:00:00,1.15962,short,1.16135943,1.15556133,False,2021-11-03 18:45:00,1.16135943,Stop Loss,-0.0017394299999999863,-0.001499999999999988
2021-11-08 15:00:00,1.15878,long,1.15704183,1.16283573,False,2021-11-09 13:00:00,1.15704183,Stop Loss,-0.0017381699999998723,-0.0014999999999998899
2021-11-16 14:00:00,1.13348,short,1.13518022,1.1295128200000002,False,2021-11-16 15:00:00,1.13518022,Stop Loss,-0.00170022000000003,-0.0015000000000000265
2021-11-19 07:45:00,1.13437,short,1.1360715550000002,1.130399705,True,2021-11-19 14:00:00,1.13109,Trailing Take Profit (EMA Cross),0.0032800000000001717,0.002891472799880261
2021-11-26 21:45:00,1.13071,short,1.132406065,1.1267525150000002,True,2021-11-29 08:45:00,1.12762,Trailing Take Profit (EMA Cross),0.003090000000000037,0.0027327962076925446
2021-11-30 15:30:00,1.13226,short,1.13395839,1.12829709,True,2021-11-30 19:30:00,1.13195,Trailing Take Profit (EMA Cross),0.00031000000000003247,0.0002737887057743208
2021-12-01 07:45:00,1.13403,long,1.1323289550000002,1.1379991050000002,False,2021-12-01 08:15:00,1.1323289550000002,Stop Loss,-0.001701044999999901,-0.0014999999999999126
2021-12-03 06:45:00,1.12827,short,1.1299624050000001,1.1243210550000002,False,2021-12-03 10:00:00,1.1299624050000001,Stop Loss,-0.001692405000000008,-0.001500000000000007
2021-12-07 02:00:00,1.12846,long,1.1267673100000002,1.13240961,False,2021-12-07 09:00:00,1.1267673100000002,Stop Loss,-0.0016926899999998302,-0.0014999999999998495
2021-12-14 08:30:00,1.12823,long,1.1265376550000001,1.1321788050000001,True,2021-12-14 14:00:00,1.13009,Trailing Take Profit (EMA Cross),0.0018599999999999728,0.001648600019499546
2021-12-15 19:00:00,1.12462,short,1.12630693,1.12068383,False,2021-12-15 19:45:00,1.12630693,Stop Loss,-0.0016869299999999754,-0.0014999999999999781
2021-12-17 20:45:00,1.12367,short,1.125355505,1.119737155,False,2021-12-20 05:45:00,1.125355505,Stop Loss,-0.001685504999999976,-0.0014999999999999788
2021-12-21 07:15:00,1.12877,long,1.1270768450000002,1.1327206950000002,False,2021-12-21 14:45:00,1.1270768450000002,Stop Loss,-0.0016931549999998907,-0.001499999999999903
2021-12-31 05:45:00,1.13107,short,1.132766605,1.127111255,False,2021-12-31 09:00:00,1.132766605,Stop Loss,-0.0016966050000000177,-0.0015000000000000156
2022-01-10 15:30:00,1.13227,long,1.1305715950000002,1.1362329450000002,True,2022-01-12 01:15:00,1.13653,Trailing Take Profit (EMA Cross),0.0042599999999999305,0.0037623535022564673
2022-01-13 15:15:00,1.14559,short,1.147308385,1.141580435,False,2022-01-14 03:15:00,1.147308385,Stop Loss,-0.001718384999999989,-0.0014999999999999903
2022-01-18 03:30:00,1.13968,short,1.1413895200000002,1.1356911200000002,True,2022-01-19 00:45:00,1.1329,Trailing Take Profit (EMA Cross),0.006780000000000008,0.00594903832654781
2022-01-31 08:00:00,1.11734,long,1.11566399,1.12125069,False,2022-01-31 11:30:00,1.11566399,Stop Loss,-0.00167600999999995,-0.0014999999999999554
2022-02-09 01:45:00,1.14228,long,1.14056658,1.14627798,False,2022-02-09 07:30:00,1.14056658,Stop Loss,-0.0017134199999999655,-0.0014999999999999699
